Gebiet,Code,Jahr,Unter 5 Sterblichkeitsrate,Decade,Change
Ethiopia,ETH,1966,27.80708,1960,23.184855
Europe,,1950,7.546281,1950,0.27182499999999976
Fiji,FJI,2015,2.129581,2010,0.03316600000000003
Finland,FIN,1867,36.247,1860,0.804000000000002
France,FRA,1817,28.345999,1810,1.0249989999999976
Gabon,GAB,1978,12.737884,1970,8.855892399999998
Gambia,GMB,1956,39.159447,1950,34.600587
Georgia,GEO,1975,7.051481,1970,6.1184644
Germany,DEU,1837,49.044,1830,1.6239980000000003
Ghana,GHA,1950,25.304838,1950,21.070399000000002
Greece,GRC,1922,11.716001,1920,2.356001000000001
Grenada,GRD,2015,1.5002666,2010,0.012310700000000008
Guatemala,GTM,1957,23.823942,1950,21.6154457
Guinea,GIN,1938,35.004025,1930,0.061206999999996015
Guinea-Bissau,GNB,1951,28.62,1950,0.010000000000001563
Guyana,GUY,1906,32.689003,1900,2.2810039999999994
Haiti,HTI,1956,31.18018,1950,25.5311083
Honduras,HND,1956,23.771101,1950,22.170596500000002
Hungary,HUN,1853,42.711,1850,5.493997
Iceland,ISL,1839,43.864002,1830,5.5420019999999965
India,IND,1912,33.826,1910,0.4859999999999971
Indonesia,IDN,1951,29.209042,1950,27.0828952
Iran,IRN,1971,18.824728,1970,17.622206
Iraq,IRQ,1950,35.695183,1950,33.343295499999996
Ireland,IRL,1867,14.379,1860,0.5429999999999993
Israel,ISR,1925,20.91,1920,4.873000999999999
Italy,ITA,1878,37.092003,1870,0.4360029999999995
Jamaica,JAM,1880,32.037,1880,5.5169999999999995
Japan,JPN,1921,28.602,1920,1.5970000000000013
Jordan,JOR,1950,27.526318,1950,26.1126892
Kazakhstan,KAZ,1971,8.532084,1970,7.5584171499999995
Kenya,KEN,1952,30.067856,1950,25.958016
Kiribati,KIR,2015,5.901479,2010,0.05981129999999979
Kuwait,KWT,1959,14.990651,1950,14.12971734
Kyrgyzstan,KGZ,1975,11.215361,1970,9.489975
Landlocked developing countries (SDG),,1994,16.41282,1990,0.25449700000000064
Laos,LAO,1978,21.621962,1970,17.5839223
Latin America and the Caribbean (SDG),,2010,2.2801743,2010,0.07339530000000005
Latvia,LVA,1962,3.65,1960,0.18499979999999994
Lebanon,LBN,2015,1.2666823,2010,0.02164619999999995
Lesotho,LSO,2018,7.721261,2010,0.1254616000000004
Liberia,LBR,1954,30.291805,1950,22.971581
Libya,LBY,1956,36.09945,1950,35.065735
Lithuania,LTU,2022,0.35338542,2020,0.0018652399999999902
Low-income countries,,1994,17.560488,1990,0.05561099999999897
Luxembourg,LUX,2016,0.26996773,2010,0.0005520300000000367
Madagascar,MDG,2017,6.5660386,2010,0.0003828999999999638
Malawi,MWI,1961,36.40506,1960,32.395723
Malaysia,MYS,2015,0.8145684,2010,0.0042512000000000105
Maldives,MDV,1962,33.31843,1960,32.76057404
Mali,MLI,1963,42.63041,1960,33.255388999999994
Malta,MLT,1954,6.471199,1950,5.908250000000001
Marshall Islands,MHL,1959,12.78967,1950,9.925578
Mauritania,MRT,1950,30.907013,1950,26.9890302
Mauritius,MUS,1872,22.777,1870,2.429000000000002
Mexico,MEX,1959,16.2429,1950,14.959481599999998
Micronesia (country),FSM,1981,6.021106,1980,3.5999414999999995
Moldova,MDA,1971,6.3587446,1970,4.943012599999999
Monaco,MCO,1989,0.81096566,1980,0.52835805
Mongolia,MNG,1978,17.497013,1970,16.1559042
Montenegro,MNE,1984,2.7274547,1980,2.45515678
Morocco,MAR,1956,26.384623,1950,24.658430300000003
Mozambique,MOZ,1963,26.451283,1960,19.829868
Myanmar,MMR,1968,18.112537,1960,14.103824
Namibia,NAM,2015,4.5956564,2010,0.05751989999999996
Nauru,NRU,1990,6.709105,1990,4.0602062
Nepal,NPL,1950,34.005257,1950,31.2709616
Netherlands,NLD,1841,27.776001,1840,1.093002000000002
New Zealand,NZL,1863,17.342999,1860,5.799999
Nicaragua,NIC,1955,20.788185,1950,19.2677227
Niger,NER,1967,31.879602,1960,20.145165
Nigeria,NGA,1964,32.5151,1960,21.797821
Niue,NIU,2014,3.1931639,2010,0.6984009000000002
North America,,1950,4.080231,1950,0.033031000000000255
North Korea,PRK,2022,1.7019894,2020,0.12695060000000002
North Macedonia,MKD,2015,1.1246072,2010,0.00712489999999999
Norway,NOR,1837,21.472,1830,0.18700000000000117
Oceania,,1943,17.75507,1940,2.5168099999999995
Oceania (SDG),,1998,3.1124043,1990,0.004962900000000214
Oman,OMN,1959,38.724052,1950,37.6717581
Pakistan,PAK,1950,37.651306,1950,31.555315999999998
Palau,PLW,2015,2.1235995,2010,0.0653283
Palestine,PSE,1975,10.739268,1970,9.305759799999999
Panama,PAN,1951,12.007738,1950,10.6815801
Papua New Guinea,PNG,1951,28.542166,1950,1.9376320000000007
Paraguay,PRY,1956,8.588091,1950,6.8434796
Peru,PER,1952,30.843588,1950,29.3361725
Philippines,PHL,2017,2.7871392,2010,0.0016058000000001016
Poland,POL,1929,24.064999,1920,0.7329989999999995
Portugal,PRT,1913,26.017002,1910,4.732002000000001
Qatar,QAT,1969,6.996451,1960,6.4718344000000005
Romania,ROU,1866,38.835,1860,3.230000000000004
Russia,RUS,1868,48.557,1860,9.077000000000005
Rwanda,RWA,1956,24.883076,1950,21.0806392
Saint Kitts and Nevis,KNA,1971,7.094855,1970,5.5534665
Saint Lucia,LCA,1970,7.116172,1970,5.386058
Saint Vincent and the Grenadines,VCT,1969,6.034301,1960,4.944308700000001
Samoa,WSM,1964,11.074671,1960,1.5409870000000012
San Marino,SMR,1986,1.8407068,1980,1.69464851
Sao Tome and Principe,STP,1965,9.600898,1960,8.155326200000001
Saudi Arabia,SAU,1972,15.966825,1970,15.32372283
Senegal,SEN,1950,33.779797,1950,30.0832295
Serbia,SRB,1889,25.147,1880,2.7419999999999973
Seychelles,SYC,2015,1.4560049,2010,0.008871899999999933
Sierra Leone,SLE,2015,14.053549,2010,0.09288399999999974
Singapore,SGP,1934,27.470999,1930,0.1529999999999987
Slovakia,SVK,1950,11.781782,1950,11.19413444
Slovenia,SVN,1981,1.780228,1980,1.54831792
Small island developing States (SDG),,2010,6.1128016,2010,1.1846381
Solomon Islands,SLB,1960,16.797195,1960,14.968771899999998
Somalia,SOM,1982,20.028778,1980,9.415479999999999
South Africa,ZAF,1974,12.933836,1970,9.4798806
South America,,1952,20.09165,1950,0.45850400000000135
South Korea,KOR,1950,36.553925,1950,36.27659195
South Sudan,SSD,1954,37.391846,1950,27.514586
South-Eastern Asia (SDG),,2004,4.298483,2000,0.07110700000000048
Spain,ESP,1859,31.063,1850,2.6259999999999977
Sri Lanka,LKA,1951,13.043291,1950,12.39400914
Sub-Saharan Africa (SDG),,1994,17.691978,1990,0.06405999999999779
Sudan,SDN,1953,19.974476,1950,14.818279399999998
Suriname,SUR,1983,5.7179747,1980,4.0576561
Sweden,SWE,1752,35.965,1750,5.984001000000003
Switzerland,CHE,1877,28.507,1870,0.9010010000000008
Syria,SYR,2017,3.7436397,2010,0.2688320000000002
Taiwan,TWN,1980,1.5270001,1980,0.022000100000000078
Tajikistan,TJK,1972,15.531006,1970,12.4981004
Tanzania,TZA,1951,25.766958,1950,21.7158334
Thailand,THA,1950,20.676338,1950,19.8631646
Togo,TGO,1950,28.005177,1950,21.9672045
Tonga,TON,1963,7.8440247,1960,6.7506211
Trinidad and Tobago,TTO,1919,25.147,1910,3.113999999999997
Tunisia,TUN,1962,27.285183,1960,26.1390019
Turkey,TUR,1953,29.63174,1950,28.6686821
Turkmenistan,TKM,2015,4.249173,2010,0.026216299999999748
Tuvalu,TUV,1975,8.284618,1970,6.247426
Uganda,UGA,1953,25.39703,1950,21.344074
Ukraine,UKR,2022,0.85163975,2020,0.029282209999999975
United Arab Emirates,ARE,1960,20.046234,1960,19.515694099999997
United Kingdom,GBR,1842,26.157001,1840,1.0470010000000016
United States,USA,1934,7.974,1930,0.6600000000000001
Uruguay,URY,1923,15.664999,1920,1.8289989999999996
Uzbekistan,UZB,1979,12.514028,1970,11.1803399
Vanuatu,VUT,1952,18.389214,1950,16.5720788
Venezuela,VEN,1931,25.324001,1930,1.076000999999998
Vietnam,VNM,1964,8.761518,1960,6.7268147
Western Asia (SDG),,2012,2.7220778,2010,0.13305180000000005
Yemen,YEM,2015,4.9327617,2010,0.07053520000000013
Zambia,ZMB,2018,6.3953304,2010,0.01431939999999976
Zimbabwe,ZWE,1954,17.063305,1950,12.2903987
